Estado,Idade,Genero,Raca_cor,Satisfacao_atual,Fatores_satisfacao,Motivos_insatisfacao,Nivel_experiencia,Tempo_experiencia_dados,Faixa_salarial,Ferramentas_utilizadas,Cargo_atual,Uso_IA_Generativa,Finalidade_IA_Generativa,Barreiras_IA_Generativa,Tamanho_empresa,Setor_empresa,Equipe_dados,Prioridade_IA
SP,25,Masculino,Amarela,1.0,"Remuneração/Salário, Plano de carreira e oportunidades de crescimento profissional, Oportunidade de aprendizado e trabalhar com referências na área",Não informado,Júnior,de 1 a 2 anos,de R$ 8.001/mês a R$ 12.000/mês,"SQL, Python",Cientista de Dados/Data Scientist,"Utilizo apenas soluções gratuitas (como por exemplo o ChatGPT), para me ajudar a ser mais produtivo no dia a dia.",Não sei opinar.,Não informado,Acima de 3.000,Internet/Ecommerce,Não informado,Não informado
DF,34,Feminino,Parda,0.0,"Benefícios, Remuneração/Salário, Flexibilidade de trabalho remoto","Gostaria de trabalhar em em outra área de atuação, O clima de trabalho/ambiente não é bom, Falta de maturidade analítica na empresa",Sênior,Mais de 10 anos,de R$ 3.001/mês a R$ 4.000/mês,"SQL, Python, PHP, JavaScript, Java",Outra Opção,"Utilizo apenas soluções gratuitas (como por exemplo o ChatGPT), para me ajudar a ser mais produtivo no dia a dia.","Não tenho visto soluções de IA Generatica e LLMs sendo tradadas como prioridade pela empresa e pessoas, os poucos casos de uso são isolados ou ainda estão muito no início.",Não informado,de 101 a 500,Educação,Não informado,Não informado
MT,30,Outro,Preta,0.0,"Remuneração/Salário, Flexibilidade de trabalho remoto, Propósito do trabalho e da empresa","Falta de oportunidade de crescimento no emprego atual, O clima de trabalho/ambiente não é bom, Gostaria de receber mais benefícios",Pleno,de 7 a 10 anos,de R$ 8.001/mês a R$ 12.000/mês,"SQL, Visual Basic/VBA",Analista de BI/BI Analyst,"Utilizo apenas soluções gratuitas (como por exemplo o ChatGPT), para me ajudar a ser mais produtivo no dia a dia.","Colaboradores utilizando soluções baseadas em AI Generativa (como o ChatGPT por exemplo) de forma independente, com o objetivo de melhorar sua produtividade no dia a dia, sem um direcionamento centralizado., Não tenho visto soluções de IA Generatica e LLMs sendo tradadas como prioridade pela empresa e pessoas, os poucos casos de uso são isolados ou ainda estão muito no início.",Não informado,de 11 a 50,Tecnologia/Fábrica de Software,Não informado,Não informado
SP,33,Masculino,Branca,1.0,"Flexibilidade de trabalho remoto, Remuneração/Salário, Plano de carreira e oportunidades de crescimento profissional",Não informado,Não informado,de 3 a 4 anos,de R$ 8.001/mês a R$ 12.000/mês,Não informado,Não informado,Não informado,Não informado,Falta de compreensão dos casos de uso.,de 1.001 a 3.000,Finanças ou Bancos,Acima de 300 pessoas,Não sei opinar sobre esse assunto.
GO,40,Feminino,Branca,0.0,"Remuneração/Salário, Flexibilidade de trabalho remoto, Maturidade da empresa em termos de tecnologia e dados",Falta de oportunidade de crescimento no emprego atual,Pleno,de 4 a 6 anos,de R$ 2.001/mês a R$ 3.000/mês,Visual Basic/VBA,Outra Opção,"Utilizo apenas soluções gratuitas (como por exemplo o ChatGPT), para me ajudar a ser mais produtivo no dia a dia.","Não tenho visto soluções de IA Generatica e LLMs sendo tradadas como prioridade pela empresa e pessoas, os poucos casos de uso são isolados ou ainda estão muito no início.",Não informado,de 1.001 a 3.000,Varejo,Não informado,Não informado
RJ,26,Masculino,Branca,1.0,"Remuneração/Salário, Oportunidade de aprendizado e trabalhar com referências na área, Plano de carreira e oportunidades de crescimento profissional",Não informado,Não informado,de 4 a 6 anos,de R$ 12.001/mês a R$ 16.000/mês,Não informado,Não informado,Não informado,Não informado,"Preocupações com segurança e privacidade de dados., Preocupações com propriedade intelectual (ou seja, tipo de dados usados para treinar um modelo de terceiros)., Falta de expertise das equipes técnicas ou falta de recursos internos.",Acima de 3.000,Finanças ou Bancos,101 - 300,"Sim, está entre nossas principais prioridades para os próximos 2-4 anos (com discussões de iniciativas e orçamentos de curto a médio prazo)."
MG,47,Masculino,Branca,0.0,Oportunidade de aprendizado e trabalhar com referências na área,Falta de oportunidade de crescimento no emprego atual,Não informado,Mais de 10 anos,de R$ 8.001/mês a R$ 12.000/mês,Não informado,Não informado,Não informado,Não informado,Preocupações com segurança e privacidade de dados.,Acima de 3.000,Área da Saúde,21 - 50,"Mais ou menos... É uma das várias iniciativas que estamos impulsionando, mas não é uma prioridade (iniciativas isoladas e pouco foco)."
CE,28,Masculino,Parda,1.0,"Remuneração/Salário, Ambiente e clima de trabalho, Oportunidade de aprendizado e trabalhar com referências na área",Não informado,Pleno,de 3 a 4 anos,de R$ 8.001/mês a R$ 12.000/mês,"SQL, Python, Scala",Engenheiro de Dados/Arquiteto de Dados/Data Engineer/Data Architect,"Utilizo soluções pagas de AI Generativa (como por exemplo ChatGPT plus, MidJourney etc) e a empresa em que trabalho paga pela solução., Utilizo soluções no estilo ""Copilot"" (exemplo: Github Copilot, Amazon CodeWhisperer ou ChatGPT Plus) para ter mais produtividade no dia a dia.","Existe um direcionamento centralizado para que colaboradores utilizem soluções baseadas em AI Generativa (como o ChatGPT por exemplo), incluindo apoio nos custos das ferramentas., Equipes de desenvolvimento utilizando soluções no estilo Copilot (Github Copilot, AWS CodeWhisperer etc) para obter mais produtividade no processo de desenvolvimento., Uma ou mais equipes testando e aplicando soluções de AI Generativa e LLMs, com o objetivo de propor melhorias e inovações para impulsionar a diferenciação de produtos oferecidos para os clientes finais (exemplo: novos recursos, produtos, serviços etc), Uma ou mais equipes testando e aplicando soluções de AI Generativa e LLMs, com o objetivo de aumentar a eficiencia de processos internos (como produtividade das equipes internas, ou melhoria de processos existentes).",Não informado,de 501 a 1.000,Setor Alimentício,Não informado,Não informado
SP,30,Masculino,Branca,1.0,"Flexibilidade de trabalho remoto, Maturidade da empresa em termos de tecnologia e dados, Remuneração/Salário",Não informado,Sênior,de 4 a 6 anos,de R$ 16.001/mês a R$ 20.000/mês,"SQL, Python, PHP, JavaScript",Analytics Engineer,Não utilizo nenhum tipo de solução de IA Generativa para melhorar a produtividade no dia a dia.,"Colaboradores utilizando soluções baseadas em AI Generativa (como o ChatGPT por exemplo) de forma independente, com o objetivo de melhorar sua produtividade no dia a dia, sem um direcionamento centralizado., Não tenho visto soluções de IA Generatica e LLMs sendo tradadas como prioridade pela empresa e pessoas, os poucos casos de uso são isolados ou ainda estão muito no início.",Não informado,Acima de 3.000,Outra Opção,Não informado,Não informado
MG,36,Masculino,Preta,1.0,Oportunidade de aprendizado e trabalhar com referências na área,Não informado,Júnior,de 1 a 2 anos,de R$ 2.001/mês a R$ 3.000/mês,"SQL, Python",Analista de Dados/Data Analyst,"Utilizo apenas soluções gratuitas (como por exemplo o ChatGPT), para me ajudar a ser mais produtivo no dia a dia.","Colaboradores utilizando soluções baseadas em AI Generativa (como o ChatGPT por exemplo) de forma independente, com o objetivo de melhorar sua produtividade no dia a dia, sem um direcionamento centralizado.",Não informado,de 11 a 50,Educação,Não informado,Não informado
SP,30,Feminino,Parda,0.0,"Remuneração/Salário, Propósito do trabalho e da empresa, Flexibilidade de trabalho remoto","O clima de trabalho/ambiente não é bom, Não tenho uma boa relação com meu líder/gestor",Sênior,de 5 a 6 anos,de R$ 8.001/mês a R$ 12.000/mês,"SQL, Python",Cientista de Dados/Data Scientist,"Utilizo apenas soluções gratuitas (como por exemplo o ChatGPT), para me ajudar a ser mais produtivo no dia a dia.","Não tenho visto soluções de IA Generatica e LLMs sendo tradadas como prioridade pela empresa e pessoas, os poucos casos de uso são isolados ou ainda estão muito no início.",Não informado,de 1.001 a 3.000,Finanças ou Bancos,Não informado,Não informado
GO,20,Feminino,Preta,1.0,"Remuneração/Salário, Oportunidade de aprendizado e trabalhar com referências na área, Plano de carreira e oportunidades de crescimento profissional",Não informado,Júnior,de 3 a 4 anos,de R$ 4.001/mês a R$ 6.000/mês,"SQL, Python",Analista de Negócios/Business Analyst,"Utilizo apenas soluções gratuitas (como por exemplo o ChatGPT), para me ajudar a ser mais produtivo no dia a dia.","Colaboradores utilizando soluções baseadas em AI Generativa (como o ChatGPT por exemplo) de forma independente, com o objetivo de melhorar sua produtividade no dia a dia, sem um direcionamento centralizado.",Não informado,de 101 a 500,Setor Imobiliário/ Construção Civil,Não informado,Não informado
BA,34,Masculino,Preta,1.0,"Maturidade da empresa em termos de tecnologia e dados, Oportunidade de aprendizado e trabalhar com referências na área, Flexibilidade de trabalho remoto",Não informado,Não informado,Mais de 10 anos,de R$ 16.001/mês a R$ 20.000/mês,Não informado,Não informado,Não informado,Não informado,"Falta de compreensão dos casos de uso., Dados da empresa não estão prontos para uso de IA Generativa., Falta de expertise das equipes técnicas ou falta de recursos internos.",de 1 a 5,Área de Consultoria,Ainda não temos pessoas atuando com dados na empresa,"Sim, está entre nossas principais prioridades para os próximos 2-4 anos (com discussões de iniciativas e orçamentos de curto a médio prazo)."
SP,37,Masculino,Branca,0.0,"Remuneração/Salário, Benefícios, Flexibilidade de trabalho remoto","Gostaria de receber mais benefícios, Gostaria de trabalhar em em outra área de atuação",Pleno,Não tenho experiência na área de dados,de R$ 4.001/mês a R$ 6.000/mês,Não utilizo nenhuma das linguagens listadas,Outra Opção,Não utilizo nenhum tipo de solução de IA Generativa para melhorar a produtividade no dia a dia.,Não sei opinar.,Não informado,de 1.001 a 3.000,Setor Farmaceutico,Não informado,Não informado
SP,46,Masculino,Branca,0.0,"Remuneração/Salário, Plano de carreira e oportunidades de crescimento profissional",Falta de maturidade analítica na empresa,Sênior,de 1 a 2 anos,de R$ 12.001/mês a R$ 16.000/mês,SQL,Analista de Negócios/Business Analyst,Não utilizo nenhum tipo de solução de IA Generativa para melhorar a produtividade no dia a dia.,"Não tenho visto soluções de IA Generatica e LLMs sendo tradadas como prioridade pela empresa e pessoas, os poucos casos de uso são isolados ou ainda estão muito no início.",Não informado,de 501 a 1.000,Indústria,Não informado,Não informado
AM,27,Masculino,Branca,1.0,"Remuneração/Salário, Benefícios, Flexibilidade de trabalho remoto",Não informado,Sênior,de 1 a 2 anos,de R$ 8.001/mês a R$ 12.000/mês,"SQL, Python",Cientista de Dados/Data Scientist,"Utilizo soluções pagas de AI Generativa (como por exemplo ChatGPT plus, MidJourney etc) e pago do meu próprio bolso.",Não sei opinar.,Não informado,de 1.001 a 3.000,Área de Consultoria,Não informado,Não informado
SP,39,Masculino,Branca,1.0,"Remuneração/Salário, Flexibilidade de trabalho remoto, Ambiente e clima de trabalho",Não informado,Sênior,Mais de 10 anos,de R$ 30.001/mês a R$ 40.000/mês,"Python, SQL",Cientista de Dados/Data Scientist,"Utilizo apenas soluções gratuitas (como por exemplo o ChatGPT), para me ajudar a ser mais produtivo no dia a dia.","Colaboradores utilizando soluções baseadas em AI Generativa (como o ChatGPT por exemplo) de forma independente, com o objetivo de melhorar sua produtividade no dia a dia, sem um direcionamento centralizado., Equipes de desenvolvimento utilizando soluções no estilo Copilot (Github Copilot, AWS CodeWhisperer etc) para obter mais produtividade no processo de desenvolvimento., Uma ou mais equipes testando e aplicando soluções de AI Generativa e LLMs, com o objetivo de propor melhorias e inovações para impulsionar a diferenciação de produtos oferecidos para os clientes finais (exemplo: novos recursos, produtos, serviços etc)",Não informado,Acima de 3.000,Seguros ou Previdência,Não informado,Não informado
SC,27,Masculino,Preta,0.0,"Maturidade da empresa em termos de tecnologia e dados, Remuneração/Salário, Benefícios",Falta de maturidade analítica na empresa,Júnior,de 1 a 2 anos,de R$ 4.001/mês a R$ 6.000/mês,Não utilizo nenhuma das linguagens listadas,Analista de Dados/Data Analyst,"Utilizo apenas soluções gratuitas (como por exemplo o ChatGPT), para me ajudar a ser mais produtivo no dia a dia.","Colaboradores utilizando soluções baseadas em AI Generativa (como o ChatGPT por exemplo) de forma independente, com o objetivo de melhorar sua produtividade no dia a dia, sem um direcionamento centralizado.",Não informado,de 11 a 50,Marketing,Não informado,Não informado
MG,36,Masculino,Parda,1.0,"Remuneração/Salário, Ambiente e clima de trabalho, Reputação que a empresa tem no mercado",Não informado,Júnior,Menos de 1 ano,de R$ 12.001/mês a R$ 16.000/mês,SQL,Outra Opção,"Utilizo apenas soluções gratuitas (como por exemplo o ChatGPT), para me ajudar a ser mais produtivo no dia a dia.","Colaboradores utilizando soluções baseadas em AI Generativa (como o ChatGPT por exemplo) de forma independente, com o objetivo de melhorar sua produtividade no dia a dia, sem um direcionamento centralizado., Equipes de desenvolvimento utilizando soluções no estilo Copilot (Github Copilot, AWS CodeWhisperer etc) para obter mais produtividade no processo de desenvolvimento.",Não informado,Acima de 3.000,Indústria,Não informado,Não informado
MT,29,Masculino,Branca,1.0,"Remuneração/Salário, Flexibilidade de trabalho remoto, Plano de carreira e oportunidades de crescimento profissional",Não informado,Pleno,Menos de 1 ano,de R$ 6.001/mês a R$ 8.000/mês,"SQL, Python",Analista de Dados/Data Analyst,"Utilizo apenas soluções gratuitas (como por exemplo o ChatGPT), para me ajudar a ser mais produtivo no dia a dia.","Equipes de desenvolvimento utilizando soluções no estilo Copilot (Github Copilot, AWS CodeWhisperer etc) para obter mais produtividade no processo de desenvolvimento., Colaboradores utilizando soluções baseadas em AI Generativa (como o ChatGPT por exemplo) de forma independente, com o objetivo de melhorar sua produtividade no dia a dia, sem um direcionamento centralizado.",Não informado,de 51 a 100,Setor Imobiliário/ Construção Civil,Não informado,Não informado
BA,26,Masculino,Preta,0.0,"Flexibilidade de trabalho remoto, Oportunidade de aprendizado e trabalhar com referências na área, Plano de carreira e oportunidades de crescimento profissional","Falta de oportunidade de crescimento no emprego atual, Salário atual não corresponde ao mercado, Falta de maturidade analítica na empresa",Pleno,de 3 a 4 anos,de R$ 3.001/mês a R$ 4.000/mês,"SQL, Python",Analista de Dados/Data Analyst,"Utilizo apenas soluções gratuitas (como por exemplo o ChatGPT), para me ajudar a ser mais produtivo no dia a dia.","Colaboradores utilizando soluções baseadas em AI Generativa (como o ChatGPT por exemplo) de forma independente, com o objetivo de melhorar sua produtividade no dia a dia, sem um direcionamento centralizado.",Não informado,de 101 a 500,Varejo,Não informado,Não informado
PR,26,Masculino,Parda,1.0,"Remuneração/Salário, Oportunidade de aprendizado e trabalhar com referências na área, Plano de carreira e oportunidades de crescimento profissional",Não informado,Júnior,Menos de 1 ano,de R$ 2.001/mês a R$ 3.000/mês,Python,Analista de Inteligência de Mercado/Market Intelligence,"Utilizo apenas soluções gratuitas (como por exemplo o ChatGPT), para me ajudar a ser mais produtivo no dia a dia.","Não tenho visto soluções de IA Generatica e LLMs sendo tradadas como prioridade pela empresa e pessoas, os poucos casos de uso são isolados ou ainda estão muito no início., Colaboradores utilizando soluções baseadas em AI Generativa (como o ChatGPT por exemplo) de forma independente, com o objetivo de melhorar sua produtividade no dia a dia, sem um direcionamento centralizado.",Não informado,de 1.001 a 3.000,Indústria,Não informado,Não informado
SP,37,Feminino,Branca,0.0,"Remuneração/Salário, Flexibilidade de trabalho remoto, Propósito do trabalho e da empresa",Salário atual não corresponde ao mercado,Júnior,de 5 a 6 anos,de R$ 2.001/mês a R$ 3.000/mês,SQL,Analista de BI/BI Analyst,"Utilizo apenas soluções gratuitas (como por exemplo o ChatGPT), para me ajudar a ser mais produtivo no dia a dia.",Não sei opinar.,Não informado,de 101 a 500,Educação,Não informado,Não informado
SP,27,Feminino,Branca,1.0,"Flexibilidade de trabalho remoto, Plano de carreira e oportunidades de crescimento profissional, Propósito do trabalho e da empresa",Não informado,Pleno,de 1 a 2 anos,de R$ 6.001/mês a R$ 8.000/mês,"Python, SQL",Analista de Inteligência de Mercado/Market Intelligence,"Utilizo apenas soluções gratuitas (como por exemplo o ChatGPT), para me ajudar a ser mais produtivo no dia a dia.","Não tenho visto soluções de IA Generatica e LLMs sendo tradadas como prioridade pela empresa e pessoas, os poucos casos de uso são isolados ou ainda estão muito no início.",Não informado,Acima de 3.000,Setor de Energia,Não informado,Não informado
DF,40,Feminino,Parda,0.0,"Propósito do trabalho e da empresa, Flexibilidade de trabalho remoto, Ambiente e clima de trabalho","Gostaria de trabalhar em em outra área de atuação, Gostaria de receber mais benefícios, Falta de maturidade analítica na empresa",Júnior,Menos de 1 ano,de R$ 1.001/mês a R$ 2.000/mês,"SQL, JavaScript",Analista de Suporte/Analista Técnico,"Utilizo apenas soluções gratuitas (como por exemplo o ChatGPT), para me ajudar a ser mais produtivo no dia a dia.","Não tenho visto soluções de IA Generatica e LLMs sendo tradadas como prioridade pela empresa e pessoas, os poucos casos de uso são isolados ou ainda estão muito no início.",Não informado,de 51 a 100,Educação,Não informado,Não informado
SP,45,Feminino,Branca,1.0,"Ambiente e clima de trabalho, Plano de carreira e oportunidades de crescimento profissional, Propósito do trabalho e da empresa",Não informado,Não informado,de 5 a 6 anos,de R$ 20.001/mês a R$ 25.000/mês,Não informado,Não informado,Não informado,Não informado,"Preocupações com segurança e privacidade de dados., Preocupações com propriedade intelectual (ou seja, tipo de dados usados para treinar um modelo de terceiros).",Acima de 3.000,Varejo,Acima de 300 pessoas,"Sim, é nossa principal prioridade como empresa (com foco executivo significativo e alocação de orçamento relevante)."
SP,38,Masculino,Branca,1.0,"Remuneração/Salário, Flexibilidade de trabalho remoto, Maturidade da empresa em termos de tecnologia e dados",Não informado,Sênior,de 7 a 10 anos,de R$ 12.001/mês a R$ 16.000/mês,"SQL, Python",Analista de Dados/Data Analyst,"Utilizo apenas soluções gratuitas (como por exemplo o ChatGPT), para me ajudar a ser mais produtivo no dia a dia.","Colaboradores utilizando soluções baseadas em AI Generativa (como o ChatGPT por exemplo) de forma independente, com o objetivo de melhorar sua produtividade no dia a dia, sem um direcionamento centralizado., Não tenho visto soluções de IA Generatica e LLMs sendo tradadas como prioridade pela empresa e pessoas, os poucos casos de uso são isolados ou ainda estão muito no início.",Não informado,de 101 a 500,Entretenimento ou Esportes,Não informado,Não informado
SP,30,Masculino,Parda,1.0,"Remuneração/Salário, Plano de carreira e oportunidades de crescimento profissional, Flexibilidade de trabalho remoto",Não informado,Sênior,de 3 a 4 anos,de R$ 8.001/mês a R$ 12.000/mês,"SQL, Python",Analista de Dados/Data Analyst,"Utilizo apenas soluções gratuitas (como por exemplo o ChatGPT), para me ajudar a ser mais produtivo no dia a dia.","Colaboradores utilizando soluções baseadas em AI Generativa (como o ChatGPT por exemplo) de forma independente, com o objetivo de melhorar sua produtividade no dia a dia, sem um direcionamento centralizado., Uma ou mais equipes testando e aplicando soluções de AI Generativa e LLMs, com o objetivo de propor melhorias e inovações para impulsionar a diferenciação de produtos oferecidos para os clientes finais (exemplo: novos recursos, produtos, serviços etc)",Não informado,de 51 a 100,Tecnologia/Fábrica de Software,Não informado,Não informado
MG,38,Feminino,Parda,1.0,"Flexibilidade de trabalho remoto, Remuneração/Salário, Oportunidade de aprendizado e trabalhar com referências na área",Não informado,Pleno,de 7 a 10 anos,de R$ 8.001/mês a R$ 12.000/mês,SQL,Cientista de Dados/Data Scientist,Não utilizo nenhum tipo de solução de IA Generativa para melhorar a produtividade no dia a dia.,"Não tenho visto soluções de IA Generatica e LLMs sendo tradadas como prioridade pela empresa e pessoas, os poucos casos de uso são isolados ou ainda estão muito no início.",Não informado,Acima de 3.000,Outra Opção,Não informado,Não informado
RJ,29,Masculino,Parda,1.0,"Remuneração/Salário, Oportunidade de aprendizado e trabalhar com referências na área",Não informado,Pleno,de 3 a 4 anos,de R$ 4.001/mês a R$ 6.000/mês,"SQL, R, Python",Cientista de Dados/Data Scientist,"Utilizo soluções pagas de AI Generativa (como por exemplo ChatGPT plus, MidJourney etc) e pago do meu próprio bolso., Utilizo soluções no estilo ""Copilot"" (exemplo: Github Copilot, Amazon CodeWhisperer ou ChatGPT Plus) para ter mais produtividade no dia a dia.","Colaboradores utilizando soluções baseadas em AI Generativa (como o ChatGPT por exemplo) de forma independente, com o objetivo de melhorar sua produtividade no dia a dia, sem um direcionamento centralizado., Uma ou mais equipes testando e aplicando soluções de AI Generativa e LLMs, com o objetivo de propor melhorias e inovações para impulsionar a diferenciação de produtos oferecidos para os clientes finais (exemplo: novos recursos, produtos, serviços etc), Soluções de IA Generatica e LLMs estão sendo tratadas como principal frente do negócio (com o objetivo de substituir o modelo de negócio atual)",Não informado,Acima de 3.000,Área de Consultoria,Não informado,Não informado
SP,51,Feminino,Branca,1.0,"Remuneração/Salário, Flexibilidade de trabalho remoto, Plano de carreira e oportunidades de crescimento profissional",Não informado,Sênior,de 3 a 4 anos,de R$ 12.001/mês a R$ 16.000/mês,"SQL, Python",Analista de Dados/Data Analyst,Não utilizo nenhum tipo de solução de IA Generativa para melhorar a produtividade no dia a dia.,"Uma ou mais equipes testando e aplicando soluções de AI Generativa e LLMs, com o objetivo de propor melhorias e inovações para impulsionar a diferenciação de produtos oferecidos para os clientes finais (exemplo: novos recursos, produtos, serviços etc), Uma ou mais equipes testando e aplicando soluções de AI Generativa e LLMs, com o objetivo de aumentar a eficiencia de processos internos (como produtividade das equipes internas, ou melhoria de processos existentes).",Não informado,Acima de 3.000,Varejo,Não informado,Não informado
SP,22,Masculino,Parda,1.0,"Remuneração/Salário, Propósito do trabalho e da empresa, Reputação que a empresa tem no mercado",Não informado,Pleno,de 1 a 2 anos,de R$ 4.001/mês a R$ 6.000/mês,"SQL, Python",Analista de BI/BI Analyst,"Utilizo apenas soluções gratuitas (como por exemplo o ChatGPT), para me ajudar a ser mais produtivo no dia a dia.","Uma ou mais equipes testando e aplicando soluções de AI Generativa e LLMs, com o objetivo de propor melhorias e inovações para impulsionar a diferenciação de produtos oferecidos para os clientes finais (exemplo: novos recursos, produtos, serviços etc), Uma ou mais equipes testando e aplicando soluções de AI Generativa e LLMs, com o objetivo de aumentar a eficiencia de processos internos (como produtividade das equipes internas, ou melhoria de processos existentes).",Não informado,de 101 a 500,Educação,Não informado,Não informado
RJ,26,Masculino,Preta,0.0,"Remuneração/Salário, Benefícios, Plano de carreira e oportunidades de crescimento profissional","Salário atual não corresponde ao mercado, Gostaria de receber mais benefícios, Tenho mais responsabilidades do que o meu cargo exige",Pleno,de 3 a 4 anos,de R$ 3.001/mês a R$ 4.000/mês,"SQL, R, Python",Cientista de Dados/Data Scientist,"Utilizo apenas soluções gratuitas (como por exemplo o ChatGPT), para me ajudar a ser mais produtivo no dia a dia.","Colaboradores utilizando soluções baseadas em AI Generativa (como o ChatGPT por exemplo) de forma independente, com o objetivo de melhorar sua produtividade no dia a dia, sem um direcionamento centralizado.",Não informado,de 501 a 1.000,Setor Alimentício,Não informado,Não informado
SP,22,Masculino,Branca,1.0,"Oportunidade de aprendizado e trabalhar com referências na área, Remuneração/Salário, Maturidade da empresa em termos de tecnologia e dados",Não informado,Júnior,de 1 a 2 anos,de R$ 2.001/mês a R$ 3.000/mês,"SQL, SAS/Stata",Analista de Dados/Data Analyst,"Utilizo apenas soluções gratuitas (como por exemplo o ChatGPT), para me ajudar a ser mais produtivo no dia a dia.","Colaboradores utilizando soluções baseadas em AI Generativa (como o ChatGPT por exemplo) de forma independente, com o objetivo de melhorar sua produtividade no dia a dia, sem um direcionamento centralizado.",Não informado,de 101 a 500,Área de Consultoria,Não informado,Não informado
RJ,29,Masculino,Parda,1.0,"Remuneração/Salário, Plano de carreira e oportunidades de crescimento profissional, Qualidade dos gestores e líderes",Não informado,Não informado,de 7 a 10 anos,de R$ 12.001/mês a R$ 16.000/mês,Não informado,Não informado,Não informado,Não informado,"Dados da empresa não estão prontos para uso de IA Generativa., Falta de expertise das equipes técnicas ou falta de recursos internos., Retorno sobre investimento (ROI) não comprovado de IA Generativa.",de 101 a 500,Área de Consultoria,11 - 20,Não é uma iniciativa que estamos focando e não tem sido uma prioridade.
MG,32,Masculino,Branca,1.0,Remuneração/Salário,Não informado,Sênior,de 3 a 4 anos,de R$ 12.001/mês a R$ 16.000/mês,Não informado,Outra Opção,Não informado,Não informado,Não informado,de 501 a 1.000,Tecnologia/Fábrica de Software,Não informado,Não informado
DF,43,Feminino,Branca,0.0,"Remuneração/Salário, Ambiente e clima de trabalho, Plano de carreira e oportunidades de crescimento profissional","O clima de trabalho/ambiente não é bom, Falta de maturidade analítica na empresa",Pleno,Mais de 10 anos,de R$ 8.001/mês a R$ 12.000/mês,Não utilizo nenhuma das linguagens listadas,Analista de Dados/Data Analyst,Não utilizo nenhum tipo de solução de IA Generativa para melhorar a produtividade no dia a dia.,"Não tenho visto soluções de IA Generatica e LLMs sendo tradadas como prioridade pela empresa e pessoas, os poucos casos de uso são isolados ou ainda estão muito no início.",Não informado,de 101 a 500,Setor Público,Não informado,Não informado
MG,25,Masculino,Branca,1.0,"Remuneração/Salário, Oportunidade de aprendizado e trabalhar com referências na área, Plano de carreira e oportunidades de crescimento profissional",Não informado,Pleno,de 3 a 4 anos,de R$ 6.001/mês a R$ 8.000/mês,"SQL, Python",Desenvolvedor/ Engenheiro de Software/ Analista de Sistemas,Não utilizo nenhum tipo de solução de IA Generativa para melhorar a produtividade no dia a dia.,"Colaboradores utilizando soluções baseadas em AI Generativa (como o ChatGPT por exemplo) de forma independente, com o objetivo de melhorar sua produtividade no dia a dia, sem um direcionamento centralizado.",Não informado,de 101 a 500,Varejo,Não informado,Não informado
SP,33,Feminino,Branca,1.0,"Reputação que a empresa tem no mercado, Remuneração/Salário, Flexibilidade de trabalho remoto",Não informado,Sênior,Mais de 10 anos,de R$ 12.001/mês a R$ 16.000/mês,"SQL, Python",Outra Opção,"Utilizo apenas soluções gratuitas (como por exemplo o ChatGPT), para me ajudar a ser mais produtivo no dia a dia.","Uma ou mais equipes testando e aplicando soluções de AI Generativa e LLMs, com o objetivo de propor melhorias e inovações para impulsionar a diferenciação de produtos oferecidos para os clientes finais (exemplo: novos recursos, produtos, serviços etc)",Não informado,Acima de 3.000,Varejo,Não informado,Não informado
MG,29,Masculino,Parda,1.0,"Remuneração/Salário, Benefícios, Flexibilidade de trabalho remoto",Não informado,Sênior,de 3 a 4 anos,de R$ 12.001/mês a R$ 16.000/mês,"SQL, Python",Analista de Dados/Data Analyst,Não utilizo nenhum tipo de solução de IA Generativa para melhorar a produtividade no dia a dia.,Não sei opinar.,Não informado,Acima de 3.000,Internet/Ecommerce,Não informado,Não informado
SP,27,Masculino,Branca,1.0,Flexibilidade de trabalho remoto,Não informado,Pleno,Não tenho experiência na área de dados,de R$ 4.001/mês a R$ 6.000/mês,Não utilizo nenhuma das linguagens listadas,Outra Opção,Não utilizo nenhum tipo de solução de IA Generativa para melhorar a produtividade no dia a dia.,Não sei opinar.,Não informado,de 101 a 500,Setor de Energia,Não informado,Não informado
SP,27,Masculino,Branca,1.0,"Flexibilidade de trabalho remoto, Benefícios, Plano de carreira e oportunidades de crescimento profissional",Não informado,Pleno,de 1 a 2 anos,de R$ 4.001/mês a R$ 6.000/mês,"SQL, Python",Analista de Dados/Data Analyst,"Utilizo apenas soluções gratuitas (como por exemplo o ChatGPT), para me ajudar a ser mais produtivo no dia a dia.","Colaboradores utilizando soluções baseadas em AI Generativa (como o ChatGPT por exemplo) de forma independente, com o objetivo de melhorar sua produtividade no dia a dia, sem um direcionamento centralizado.",Não informado,Acima de 3.000,Tecnologia/Fábrica de Software,Não informado,Não informado
RS,28,Masculino,Branca,1.0,Remuneração/Salário,Não informado,Pleno,de 5 a 6 anos,de R$ 8.001/mês a R$ 12.000/mês,Não informado,Cientista de Dados/Data Scientist,Não informado,Não informado,Não informado,de 1.001 a 3.000,Tecnologia/Fábrica de Software,Não informado,Não informado
